ral_id|query_id|kernel_id|input_num_rows|input_num_bytes|output_num_rows|output_num_bytes|event_type|timestamp_begin|timestamp_end
0|1769618787|1|1216876|30421900|1216876|30421900|compute|1600753420022|1600753420022
0|1769618787|0|1216876|30421900|10|250|compute|1600753420022|1600753420023
0|231028540|1|1216876|30421900|1216876|30421900|compute|1600753440427|1600753440427
0|231028540|0|1216876|30421900|10|250|compute|1600753440427|1600753440428
0|648186118|1|1216876|30421900|1216876|30421900|compute|1600753641998|1600753641998
0|648186118|0|1216876|30421900|10|250|compute|1600753641998|1600753641999
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655328|1600753655328
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655330|1600753655330
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655351|1600753655351
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655395|1600753655395
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655395|1600753655395
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655416|1600753655416
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655455|1600753655455
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655455|1600753655455
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655470|1600753655470
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655470|1600753655470
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655519|1600753655519
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655532|1600753655532
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655533|1600753655533
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655534|1600753655534
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655567|1600753655567
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655589|1600753655589
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655590|1600753655590
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655614|1600753655614
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655638|1600753655638
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655646|1600753655646
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655664|1600753655664
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655665|1600753655665
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655699|1600753655699
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655715|1600753655715
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655722|1600753655722
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655767|1600753655767
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655768|1600753655768
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655768|1600753655768
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655793|1600753655793
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655831|1600753655831
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655831|1600753655831
0|1318612479|3|1216875|9735000|1216875|9735000|compute|1600753655831|1600753655831
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655840|1600753655840
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655883|1600753655883
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655896|1600753655896
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655896|1600753655896
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655903|1600753655903
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655943|1600753655943
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655943|1600753655943
0|1318612479|3|1216876|9735008|1216876|9735008|compute|1600753655950|1600753655950
0|1318612479|2|48675039|389400312|48675039|48675039|compute|1600753655987|1600753656002
0|1318612479|1|48675039|48675039|1|8|compute|1600753656003|1600753656003
0|1318612479|0|1|8|1|8|compute|1600753656004|1600753656004
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720803|1600753720803
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720803|1600753720803
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720803|1600753720803
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720813|1600753720813
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720883|1600753720883
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720883|1600753720883
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720883|1600753720883
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720893|1600753720893
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720946|1600753720946
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720969|1600753720969
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720970|1600753720970
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720970|1600753720970
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753720984|1600753720984
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753721040|1600753721040
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753721040|1600753721040
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753721040|1600753721040
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753721040|1600753721040
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753721092|1600753721093
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753721093|1600753721093
0|1115485788|3|1216876|9735008|1216876|9735008|compute|1600753721099|1600753721099
