ral_id|query_id|source|sink|num_rows|num_bytes|event_type|timestamp_begin|timestamp_end
0|1769618787|1|900000000|1216876|30421900|addCache|1600753420022|1600753420022
0|1769618787|900000000|0|1216876|30421900|removeCache|1600753420022|1600753420022
0|1769618787|0|900000001|10|250|addCache|1600753420023|1600753420023
0|1769618787|900000001|2|10|250|removeCache|1600753420023|1600753420023
0|231028540|1|900000002|1216876|30421900|addCache|1600753440427|1600753440427
0|231028540|900000002|0|1216876|30421900|removeCache|1600753440427|1600753440427
0|231028540|0|900000003|10|250|addCache|1600753440428|1600753440428
0|231028540|900000003|2|10|250|removeCache|1600753440428|1600753440428
0|648186118|1|900000000|1216876|30421900|addCache|1600753641998|1600753641998
0|648186118|900000000|0|1216876|30421900|removeCache|1600753641998|1600753641998
0|648186118|0|900000001|10|250|addCache|1600753641999|1600753641999
0|648186118|900000001|2|10|250|removeCache|1600753641999|1600753641999
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655328|1600753655328
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655330|1600753655330
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655351|1600753655351
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655395|1600753655395
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655395|1600753655395
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655416|1600753655416
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655455|1600753655455
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655455|1600753655455
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655470|1600753655470
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655470|1600753655470
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655519|1600753655519
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655532|1600753655532
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655533|1600753655533
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655534|1600753655534
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655567|1600753655567
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655589|1600753655589
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655590|1600753655590
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655614|1600753655614
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655638|1600753655638
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655646|1600753655646
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655664|1600753655664
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655665|1600753655665
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655699|1600753655699
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655715|1600753655715
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655722|1600753655722
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655767|1600753655767
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655768|1600753655768
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655768|1600753655768
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655793|1600753655793
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655831|1600753655831
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655831|1600753655831
0|1318612479|3|900000002|1216875|9735000|addCache|1600753655831|1600753655832
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655840|1600753655840
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655883|1600753655883
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655896|1600753655896
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655896|1600753655896
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655904|1600753655904
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655943|1600753655943
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655943|1600753655943
0|1318612479|3|900000002|1216876|9735008|addCache|1600753655950|1600753655950
0|1318612479|900000002|2|48675039|389400312|removeCache|1600753655328|1600753655987
