ral_id|query_id|start_time|plan
0|1769618787|1600753419951|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalTableScan(table=[[main, test]])", "children": []}]}
0|231028540|1600753440395|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalTableScan(table=[[main, test]])", "children": []}]}
0|648186118|1600753641968|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalTableScan(table=[[main, test]])", "children": []}]}
0|1318612479|1600753655270|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, test]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1115485788|1600753720728|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|2104635874|1600753751654|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|945842022|1600792149827|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|894101908|1600792176328|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalTableScan(table=[[main, parking_transactions]])", "children": []}]}
0|1062368339|1600792197887|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|480070447|1600792207489|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1815791814|1600792213650|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1732054543|1600792229067|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1677963042|1600792236349|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|114710096|1600792243332|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|22301832|1600792247539|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1617314485|1600792255584|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1291270184|1600792876944|{"expr": "LogicalProject(y=[EXTRACT(FLAG(YEAR), $0)])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[0]], aliases=[[y]])", "children": []}]}
0|632273272|1600836273717|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1455289496|1600836275228|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalTableScan(table=[[main, parking_transactions]])", "children": []}]}
0|1804513459|1600836377772|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|2030158333|1600836386768|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalTableScan(table=[[main, parking_transactions]])", "children": []}]}
0|561310104|1600836391388|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1215787452|1600836495390|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, parking_transactions]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|1858294253|1600836778450|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalTableScan(table=[[main, parking_transactions]])", "children": []}]}
