ral_id|query_id|source|sink
0|1769618787|1|900000000
0|1769618787|900000000|0
0|1769618787|0|900000001
0|1769618787|900000001|2
0|231028540|1|900000002
0|231028540|900000002|0
0|231028540|0|900000003
0|231028540|900000003|2
0|648186118|1|900000000
0|648186118|900000000|0
0|648186118|0|900000001
0|648186118|900000001|2
0|1318612479|3|900000002
0|1318612479|900000002|2
0|1318612479|2|900000003
0|1318612479|900000003|1
0|1318612479|1|900000004
0|1318612479|900000004|0
0|1318612479|0|900000005
0|1318612479|900000005|4
0|1115485788|3|900000000
0|1115485788|900000000|2
0|1115485788|2|900000001
0|1115485788|900000001|1
0|1115485788|1|900000002
0|1115485788|900000002|0
0|1115485788|0|900000003
0|1115485788|900000003|4
0|2104635874|3|900000000
0|2104635874|900000000|2
0|2104635874|2|900000001
0|2104635874|900000001|1
0|2104635874|1|900000002
0|2104635874|900000002|0
0|2104635874|0|900000003
0|2104635874|900000003|4
0|945842022|3|900000004
0|945842022|900000004|2
0|945842022|2|900000005
0|945842022|900000005|1
0|945842022|1|900000006
0|945842022|900000006|0
0|945842022|0|900000007
0|945842022|900000007|4
0|894101908|1|900000008
0|894101908|900000008|0
0|894101908|0|900000009
0|894101908|900000009|2
0|1062368339|3|900000010
0|1062368339|900000010|2
0|1062368339|2|900000011
0|1062368339|900000011|1
0|1062368339|1|900000012
0|1062368339|900000012|0
0|1062368339|0|900000013
0|1062368339|900000013|4
0|480070447|3|900000014
0|480070447|900000014|2
0|480070447|2|900000015
0|480070447|900000015|1
0|480070447|1|900000016
0|480070447|900000016|0
0|480070447|0|900000017
0|480070447|900000017|4
0|1815791814|3|900000018
0|1815791814|900000018|2
0|1815791814|2|900000019
0|1815791814|900000019|1
0|1815791814|1|900000020
0|1815791814|900000020|0
0|1815791814|0|900000021
0|1815791814|900000021|4
0|1732054543|3|900000022
0|1732054543|900000022|2
0|1732054543|2|900000023
0|1732054543|900000023|1
0|1732054543|1|900000024
0|1732054543|900000024|0
0|1732054543|0|900000025
0|1732054543|900000025|4
0|1677963042|3|900000026
0|1677963042|900000026|2
0|1677963042|2|900000027
0|1677963042|900000027|1
0|1677963042|1|900000028
0|1677963042|900000028|0
0|1677963042|0|900000029
0|1677963042|900000029|4
0|114710096|3|900000030
0|114710096|900000030|2
0|114710096|2|900000031
0|114710096|900000031|1
0|114710096|1|900000032
0|114710096|900000032|0
0|114710096|0|900000033
0|114710096|900000033|4
0|22301832|3|900000034
0|22301832|900000034|2
0|22301832|2|900000035
0|22301832|900000035|1
0|22301832|1|900000036
0|22301832|900000036|0
0|22301832|0|900000037
0|22301832|900000037|4
0|1617314485|3|900000038
0|1617314485|900000038|2
0|1617314485|2|900000039
0|1617314485|900000039|1
0|1617314485|1|900000040
0|1617314485|900000040|0
0|1617314485|0|900000041
0|1617314485|900000041|4
0|1291270184|1|900000042
0|1291270184|900000042|0
0|1291270184|0|900000043
0|1291270184|900000043|2
0|632273272|3|900000000
0|632273272|900000000|2
0|632273272|2|900000001
0|632273272|900000001|1
0|632273272|1|900000002
0|632273272|900000002|0
0|632273272|0|900000003
0|632273272|900000003|4
0|1455289496|1|900000004
0|1455289496|900000004|0
0|1455289496|0|900000005
0|1455289496|900000005|2
0|1804513459|3|900000006
0|1804513459|900000006|2
0|1804513459|2|900000007
0|1804513459|900000007|1
0|1804513459|1|900000008
0|1804513459|900000008|0
0|1804513459|0|900000009
0|1804513459|900000009|4
0|2030158333|1|900000010
0|2030158333|900000010|0
0|2030158333|0|900000011
0|2030158333|900000011|2
0|561310104|3|900000012
0|561310104|900000012|2
0|561310104|2|900000013
0|561310104|900000013|1
0|561310104|1|900000014
0|561310104|900000014|0
0|561310104|0|900000015
0|561310104|900000015|4
0|1215787452|3|900000016
0|1215787452|900000016|2
0|1215787452|2|900000017
0|1215787452|900000017|1
0|1215787452|1|900000018
0|1215787452|900000018|0
0|1215787452|0|900000019
0|1215787452|900000019|4
0|1858294253|1|900000020
0|1858294253|900000020|0
0|1858294253|0|900000021
0|1858294253|900000021|2
0|28161553|3|900000022
0|28161553|900000022|2
0|28161553|2|900000023
0|28161553|900000023|1
0|28161553|1|900000024
0|28161553|900000024|0
0|28161553|0|900000025
0|28161553|900000025|4
0|909541191|1|900000026
0|909541191|900000026|0
0|909541191|0|900000027
0|909541191|900000027|2
0|1500016454|1|900000028
0|1500016454|900000028|0
0|1500016454|0|900000029
0|1500016454|900000029|2
0|987628143|3|900000030
0|987628143|900000030|2
0|987628143|2|900000031
0|987628143|900000031|1
0|987628143|1|900000032
0|987628143|900000032|0
0|987628143|0|900000033
0|987628143|900000033|4
0|1094635657|1|900000034
0|1094635657|900000034|0
0|1094635657|0|900000035
0|1094635657|900000035|2
0|1799310835|2|900000036
0|1799310835|900000036|1
0|1799310835|1|900000037
0|1799310835|900000037|0
0|1799310835|0|900000038
0|1799310835|900000038|3
0|1570947790|2|900000039
0|1570947790|900000039|1
0|1570947790|1|900000040
0|1570947790|900000040|0
0|1570947790|0|900000041
0|1570947790|900000041|3
0|618949459|1|900000042
