ral_id|query_id|kernel_id|is_kernel|kernel_type
0|1769618787|0|1|LimitKernel
0|1769618787|1|1|TableScanKernel
0|1769618787|900000000|0|cache
0|1769618787|2|1|OutputKernel
0|1769618787|900000001|0|cache
0|231028540|0|1|LimitKernel
0|231028540|1|1|TableScanKernel
0|231028540|900000002|0|cache
0|231028540|2|1|OutputKernel
0|231028540|900000003|0|cache
0|648186118|0|1|LimitKernel
0|648186118|1|1|TableScanKernel
0|648186118|900000000|0|cache
0|648186118|2|1|OutputKernel
0|648186118|900000001|0|cache
0|1318612479|0|1|MergeAggregateKernel
0|1318612479|1|1|ComputeAggregateKernel
0|1318612479|2|1|ProjectKernel
0|1318612479|3|1|BindableTableScanKernel
0|1318612479|900000002|0|cache
0|1318612479|900000003|0|cache
0|1318612479|900000004|0|cache
0|1318612479|4|1|OutputKernel
0|1318612479|900000005|0|cache
0|1115485788|0|1|MergeAggregateKernel
0|1115485788|1|1|ComputeAggregateKernel
0|1115485788|2|1|ProjectKernel
0|1115485788|3|1|BindableTableScanKernel
0|1115485788|900000000|0|cache
0|1115485788|900000001|0|cache
0|1115485788|900000002|0|cache
0|1115485788|4|1|OutputKernel
0|1115485788|900000003|0|cache
0|2104635874|0|1|MergeAggregateKernel
0|2104635874|1|1|ComputeAggregateKernel
0|2104635874|2|1|ProjectKernel
0|2104635874|3|1|BindableTableScanKernel
0|2104635874|900000000|0|cache
0|2104635874|900000001|0|cache
0|2104635874|900000002|0|cache
0|2104635874|4|1|OutputKernel
0|2104635874|900000003|0|cache
0|945842022|0|1|MergeAggregateKernel
0|945842022|1|1|ComputeAggregateKernel
0|945842022|2|1|ProjectKernel
0|945842022|3|1|BindableTableScanKernel
0|945842022|900000004|0|cache
0|945842022|900000005|0|cache
0|945842022|900000006|0|cache
0|945842022|4|1|OutputKernel
0|945842022|900000007|0|cache
0|894101908|0|1|LimitKernel
0|894101908|1|1|TableScanKernel
0|894101908|900000008|0|cache
0|894101908|2|1|OutputKernel
0|894101908|900000009|0|cache
0|1062368339|0|1|MergeAggregateKernel
0|1062368339|1|1|ComputeAggregateKernel
0|1062368339|2|1|ProjectKernel
0|1062368339|3|1|BindableTableScanKernel
0|1062368339|900000010|0|cache
0|1062368339|900000011|0|cache
0|1062368339|900000012|0|cache
0|1062368339|4|1|OutputKernel
0|1062368339|900000013|0|cache
0|480070447|0|1|MergeAggregateKernel
0|480070447|1|1|ComputeAggregateKernel
0|480070447|2|1|ProjectKernel
0|480070447|3|1|BindableTableScanKernel
0|480070447|900000014|0|cache
0|480070447|900000015|0|cache
0|480070447|900000016|0|cache
0|480070447|4|1|OutputKernel
0|480070447|900000017|0|cache
0|1815791814|0|1|MergeAggregateKernel
0|1815791814|1|1|ComputeAggregateKernel
0|1815791814|2|1|ProjectKernel
0|1815791814|3|1|BindableTableScanKernel
0|1815791814|900000018|0|cache
0|1815791814|900000019|0|cache
0|1815791814|900000020|0|cache
0|1815791814|4|1|OutputKernel
0|1815791814|900000021|0|cache
0|1732054543|0|1|MergeAggregateKernel
0|1732054543|1|1|ComputeAggregateKernel
0|1732054543|2|1|ProjectKernel
0|1732054543|3|1|BindableTableScanKernel
0|1732054543|900000022|0|cache
0|1732054543|900000023|0|cache
0|1732054543|900000024|0|cache
0|1732054543|4|1|OutputKernel
0|1732054543|900000025|0|cache
0|1677963042|0|1|MergeAggregateKernel
0|1677963042|1|1|ComputeAggregateKernel
0|1677963042|2|1|ProjectKernel
0|1677963042|3|1|BindableTableScanKernel
0|1677963042|900000026|0|cache
0|1677963042|900000027|0|cache
0|1677963042|900000028|0|cache
0|1677963042|4|1|OutputKernel
0|1677963042|900000029|0|cache
0|114710096|0|1|MergeAggregateKernel
0|114710096|1|1|ComputeAggregateKernel
0|114710096|2|1|ProjectKernel
0|114710096|3|1|BindableTableScanKernel
0|114710096|900000030|0|cache
0|114710096|900000031|0|cache
0|114710096|900000032|0|cache
0|114710096|4|1|OutputKernel
0|114710096|900000033|0|cache
0|22301832|0|1|MergeAggregateKernel
0|22301832|1|1|ComputeAggregateKernel
0|22301832|2|1|ProjectKernel
0|22301832|3|1|BindableTableScanKernel
0|22301832|900000034|0|cache
0|22301832|900000035|0|cache
0|22301832|900000036|0|cache
0|22301832|4|1|OutputKernel
0|22301832|900000037|0|cache
0|1617314485|0|1|MergeAggregateKernel
