ral_id|query_id|source|sink|num_rows|num_bytes|event_type|timestamp_begin|timestamp_end
0|611348506|1|900000000|233539|224226983|addCache|1599628980750|1599628980816
0|611348506|900000000|0|233539|224226983|removeCache|1599628980816|1599628980816
0|611348506|0|900000001|10|10952|addCache|1599628980823|1599628980823
0|611348506|900000001|2|10|10952|removeCache|1599628980823|1599628980823
0|879230055|2|900000000|233539|2772426|addCache|1599631297449|1599631297483
0|879230055|900000000|1|233539|2772426|removeCache|1599631297483|1599631297483
0|879230055|1|900000001|36|873|addCache|1599631297484|1599631297484
0|879230055|900000001|0|36|873|removeCache|1599631297484|1599631297484
0|879230055|0|900000002|36|1017|addCache|1599631297497|1599631297497
0|879230055|900000002|3|36|1017|removeCache|1599631297498|1599631297498
0|1587396404|6|900000003|233539|2772426|addCache|1599631307640|1599631307641
0|1587396404|900000003|5|233539|2772426|removeCache|1599631307641|1599631307641
0|1587396404|5|900000004|36|873|addCache|1599631307642|1599631307642
0|1587396404|900000004|4|36|873|removeCache|1599631307642|1599631307642
0|1587396404|4|900000005|36|1017|addCache|1599631307643|1599631307643
0|1587396404|900000005|3|36|1017|removeCache|1599631307643|1599631307643
0|1587396404|3|900000006|36|1017|addCache|1599631307644|1599631307644
0|1587396404|3|900000007|0|0|addCache|1599631307645|1599631307645
0|1587396404|900000007|2|0|0|removeCache|1599631307639|1599631307645
0|1587396404|900000006|2|36|1017|removeCache|1599631307645|1599631307645
0|1587396404|2|900000008|36|1017|addCache|1599631307646|1599631307646
0|1587396404|900000008|1|36|1017|removeCache|1599631307646|1599631307646
0|1587396404|1|900000016|36|1017|addCache|1599631307646|1599631307646
0|1587396404|900000016|0|36|1017|removeCache|1599631307646|1599631307646
0|1587396404|0|900000017|36|1017|addCache|1599631307646|1599631307646
0|1587396404|900000017|7|36|1017|removeCache|1599631307646|1599631307646
0|1962824262|3|900000018|233539|2802472|addCache|1599631373765|1599631373809
0|1962824262|900000018|2|233539|2802472|removeCache|1599631373809|1599631373809
0|1962824262|2|900000019|233539|233539|addCache|1599631373810|1599631373810
0|1962824262|900000019|1|233539|233539|removeCache|1599631373810|1599631373810
0|1962824262|1|900000020|1|8|addCache|1599631373810|1599631373810
0|1962824262|900000020|0|1|8|removeCache|1599631373810|1599631373810
0|1962824262|0|900000021|1|8|addCache|1599631373815|1599631373815
0|1962824262|900000021|4|1|8|removeCache|1599631373815|1599631373815
0|355172647|6|900000022|233539|2772426|addCache|1599631402323|1599631402365
0|355172647|900000022|5|233539|2772426|removeCache|1599631402365|1599631402365
0|355172647|5|900000023|36|873|addCache|1599631402366|1599631402366
0|355172647|900000023|4|36|873|removeCache|1599631402366|1599631402366
0|355172647|4|900000024|36|1017|addCache|1599631402368|1599631402368
0|355172647|900000024|3|36|1017|removeCache|1599631402368|1599631402368
0|355172647|3|900000025|36|288|addCache|1599631402369|1599631402369
0|355172647|900000025|2|36|288|removeCache|1599631402369|1599631402369
0|355172647|2|900000026|1|16|addCache|1599631402369|1599631402369
0|355172647|900000026|1|1|16|removeCache|1599631402369|1599631402369
0|355172647|1|900000027|1|16|addCache|1599631402370|1599631402370
0|355172647|900000027|0|1|16|removeCache|1599631402370|1599631402370
0|355172647|0|900000028|1|8|addCache|1599631402376|1599631402376
0|355172647|900000028|7|1|8|removeCache|1599631402376|1599631402376
0|1563275723|6|900000029|233539|2772426|addCache|1599631464598|1599631464598
0|1563275723|900000029|5|233539|2772426|removeCache|1599631464598|1599631464598
0|1563275723|5|900000030|36|873|addCache|1599631464600|1599631464600
0|1563275723|900000030|4|36|873|removeCache|1599631464600|1599631464600
0|1563275723|4|900000031|36|1017|addCache|1599631464601|1599631464601
0|1563275723|900000031|3|36|1017|removeCache|1599631464601|1599631464601
0|1563275723|3|900000032|36|1017|addCache|1599631464602|1599631464602
0|1563275723|3|900000033|0|0|addCache|1599631464602|1599631464602
0|1563275723|900000033|2|0|0|removeCache|1599631464597|1599631464602
