ral_id|query_id|source|sink
0|611348506|1|900000000
0|611348506|900000000|0
0|611348506|0|900000001
0|611348506|900000001|2
0|879230055|2|900000000
0|879230055|900000000|1
0|879230055|1|900000001
0|879230055|900000001|0
0|879230055|0|900000002
0|879230055|900000002|3
0|1587396404|6|900000003
0|1587396404|900000003|5
0|1587396404|5|900000004
0|1587396404|900000004|4
0|1587396404|4|900000005
0|1587396404|900000005|3
0|1587396404|3|900000006
0|1587396404|900000006|2
0|1587396404|3|900000007
0|1587396404|900000007|2
0|1587396404|2|900000008
0|1587396404|900000008|1
0|1587396404|2|900000009
0|1587396404|900000009|1
0|1587396404|2|900000010
0|1587396404|900000010|1
0|1587396404|2|900000011
0|1587396404|900000011|1
0|1587396404|2|900000012
0|1587396404|900000012|1
0|1587396404|2|900000013
0|1587396404|900000013|1
0|1587396404|2|900000014
0|1587396404|900000014|1
0|1587396404|2|900000015
0|1587396404|900000015|1
0|1587396404|1|900000016
0|1587396404|900000016|0
0|1587396404|0|900000017
0|1587396404|900000017|7
0|1962824262|3|900000018
0|1962824262|900000018|2
0|1962824262|2|900000019
0|1962824262|900000019|1
0|1962824262|1|900000020
0|1962824262|900000020|0
0|1962824262|0|900000021
0|1962824262|900000021|4
0|355172647|6|900000022
0|355172647|900000022|5
0|355172647|5|900000023
0|355172647|900000023|4
0|355172647|4|900000024
0|355172647|900000024|3
0|355172647|3|900000025
0|355172647|900000025|2
0|355172647|2|900000026
0|355172647|900000026|1
0|355172647|1|900000027
0|355172647|900000027|0
0|355172647|0|900000028
0|355172647|900000028|7
0|1563275723|6|900000029
0|1563275723|900000029|5
0|1563275723|5|900000030
0|1563275723|900000030|4
0|1563275723|4|900000031
0|1563275723|900000031|3
0|1563275723|3|900000032
0|1563275723|900000032|2
0|1563275723|3|900000033
0|1563275723|900000033|2
0|1563275723|2|900000034
0|1563275723|900000034|1
0|1563275723|2|900000035
0|1563275723|900000035|1
0|1563275723|2|900000036
0|1563275723|900000036|1
0|1563275723|2|900000037
0|1563275723|900000037|1
0|1563275723|2|900000038
0|1563275723|900000038|1
0|1563275723|2|900000039
0|1563275723|900000039|1
0|1563275723|2|900000040
0|1563275723|900000040|1
0|1563275723|2|900000041
0|1563275723|900000041|1
0|1563275723|1|900000042
0|1563275723|900000042|0
0|1563275723|0|900000043
0|1563275723|900000043|7
0|1511722598|6|900000044
0|1511722598|900000044|5
0|1511722598|5|900000045
0|1511722598|900000045|4
0|1511722598|4|900000046
0|1511722598|900000046|3
0|1511722598|3|900000047
0|1511722598|900000047|2
0|1511722598|3|900000048
0|1511722598|900000048|2
0|1511722598|2|900000049
0|1511722598|900000049|1
0|1511722598|2|900000050
0|1511722598|900000050|1
0|1511722598|2|900000051
0|1511722598|900000051|1
0|1511722598|2|900000052
0|1511722598|900000052|1
0|1511722598|2|900000053
0|1511722598|900000053|1
0|1511722598|2|900000054
0|1511722598|900000054|1
0|1511722598|2|900000055
0|1511722598|900000055|1
0|1511722598|2|900000056
0|1511722598|900000056|1
0|1511722598|1|900000057
0|1511722598|900000057|0
0|1511722598|0|900000058
0|1511722598|900000058|7
0|405031727|6|900000059
0|405031727|900000059|5
0|405031727|5|900000060
0|405031727|900000060|4
0|405031727|4|900000061
0|405031727|900000061|3
0|405031727|3|900000062
0|405031727|900000062|2
0|405031727|3|900000063
0|405031727|900000063|2
0|405031727|2|900000064
0|405031727|900000064|1
0|405031727|2|900000065
0|405031727|900000065|1
0|405031727|2|900000066
0|405031727|900000066|1
0|405031727|2|900000067
0|405031727|900000067|1
0|405031727|2|900000068
0|405031727|900000068|1
0|405031727|2|900000069
0|405031727|900000069|1
0|405031727|2|900000070
0|405031727|900000070|1
0|405031727|2|900000071
0|405031727|900000071|1
0|405031727|1|900000072
0|405031727|900000072|0
0|405031727|0|900000073
0|405031727|900000073|7
0|626822445|3|900000074
0|626822445|900000074|2
0|626822445|2|900000075
0|626822445|900000075|1
0|626822445|1|900000076
0|626822445|900000076|0
0|626822445|0|900000077
0|626822445|900000077|4
0|665297595|0|900000078
0|665297595|900000078|1
0|1907688968|6|900000000
0|1907688968|900000000|5
0|1907688968|5|900000001
0|1907688968|900000001|4
0|1907688968|4|900000002
0|1907688968|900000002|3
0|1907688968|3|900000003
0|1907688968|900000003|2
0|1907688968|3|900000004
