ral_id|query_id|start_time|plan
0|611348506|1599628980749|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[8]], aliases=[[abstract]])", "children": []}]}
0|879230055|1599631297444|{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2]], aliases=[[source_x]])", "children": []}]}
0|1587396404|1599631307638|{"expr": "LogicalSort(sort0=[$1], dir0=[DESC])", "children": [{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2]], aliases=[[source_x]])", "children": []}]}]}
0|1962824262|1599631373765|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|355172647|1599631402322|{"expr": "LogicalProject(cnt_sum=[CASE(=($1, 0), null:BIGINT, $0)])", "children": [{"expr": "LogicalAggregate(group=[{}], cnt_sum=[$SUM0($0)], agg#1=[COUNT()])", "children": [{"expr": "LogicalProject(cnt=[$1])", "children": [{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2]], aliases=[[source_x]])", "children": []}]}]}]}]}
0|1563275723|1599631464597|{"expr": "LogicalSort(sort0=[$1], dir0=[DESC])", "children": [{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2]], aliases=[[source_x]])", "children": []}]}]}
0|1511722598|1599631470327|{"expr": "LogicalSort(sort0=[$1], dir0=[DESC], fetch=[10])", "children": [{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2]], aliases=[[source_x]])", "children": []}]}]}
0|405031727|1599631495307|{"expr": "LogicalSort(sort0=[$1], dir0=[DESC], fetch=[10])", "children": [{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2]], aliases=[[source_x]])", "children": []}]}]}
0|626822445|1599631498800|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|665297595|1599631640853|{"expr": "LogicalSort(fetch=[10])", "children": []}
0|1907688968|1599631682975|{"expr": "LogicalSort(sort0=[$1], dir0=[DESC], fetch=[10])", "children": [{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2]], aliases=[[source_x]])", "children": []}]}]}
0|1242046241|1599631683519|{"expr": "LogicalAggregate(group=[{}], EXPR$0=[COUNT()])", "children": [{"expr": "LogicalProject($f0=[0])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[]], aliases=[[$f0]])", "children": []}]}]}
0|955398365|1599631686959|{"expr": "LogicalSort(fetch=[10])", "children": [{"expr": "LogicalProject(doi_id=[CASE(IS NULL($0), 0, 1)])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[4]], aliases=[[doi_id]])", "children": []}]}]}
0|1603934530|1599631758320|{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "LogicalProject(doi_id=[CASE(IS NULL($0), 0, 1)])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[4]], aliases=[[doi_id]])", "children": []}]}]}
0|2113528336|1599632401646|{"expr": "LogicalAggregate(group=[{0}], cnt=[COUNT()])", "children": [{"expr": "LogicalProject(doi_id=[CASE(IS NULL($0), 0, 1)])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[3]], aliases=[[doi_id]])", "children": []}]}]}
0|538384221|1599632759569|{"expr": "LogicalProject(source_x_miss=[CASE(IS NULL($0), 1, 0)], title_miss=[CASE(IS NULL($1), 1, 0)], doi_miss=[CASE(IS NULL($2), 1, 0)], pmcid_miss=[CASE(IS NULL($3), 1, 0)], pubmed_id_miss=[CASE(IS NULL($4), 1, 0)], license_miss=[CASE(IS NULL($5), 1, 0)], abstract_miss=[CASE(IS NULL($6), 1, 0)], publish_time_miss=[CASE(IS NULL($7), 1, 0)], authors_miss=[CASE(IS NULL($8), 1, 0)], journal_miss=[CASE(IS NULL($9), 1, 0)], mag_id_miss=[CASE(IS NULL($10), 1, 0)], who_covidence_id_miss=[CASE(IS NULL($11), 1, 0)], arxiv_id_miss=[CASE(IS NULL($12), 1, 0)], pdf_json_files_miss=[CASE(IS NULL($13), 1, 0)], pmc_json_files_miss=[CASE(IS NULL($14), 1, 0)], url_miss=[CASE(IS NULL($15), 1, 0)])", "children": [{"expr": "BindableTableScan(table=[[main, metadata]], projects=[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]], aliases=[[source_x_miss, title_miss, doi_miss, pmcid_miss, pubmed_id_miss, license_miss, abstract_miss, publish_time_miss, authors_miss, journal_miss, mag_id_miss, who_covidence_id_miss, arxiv_id_miss, pdf_json_files_miss, pmc_json_files_miss, url_miss]])", "children": []}]}
